img_id,alpha,ari_morph,ari_bottleneck,r2,pred_sd
A1,1.0,0.1417810575524318,0.0894345763842331,-1.3983716115403706,1.6949344374621274
A1,10.0,0.1417810575524318,0.10165346333149125,-1.1872955654772537,1.579017434463792
A1,100.0,0.1417810575524318,0.10697121467009105,-0.7243688782209933,1.2841465430621797
A1,1000.0,0.1417810575524318,0.0896832970604707,-0.41301991746372496,1.033767640512621
A1,10000.0,0.1417810575524318,0.1763320668066348,-0.2971071082794827,0.9114805987513842
A1,100000.0,0.1417810575524318,0.1646290262310569,-0.2820385819354992,0.8530667386028837
A1,1000000.0,0.1417810575524318,0.14705126687439443,-0.31931212413936716,0.8270937635637681
B1,1.0,0.3817466381551058,0.33025594646917555,-0.5422528511372677,1.2319322774650736
B1,10.0,0.3817466381551058,0.3382141696230954,-0.462314087413305,1.1773301607829467
B1,100.0,0.3817466381551058,0.2858915730849039,-0.26717419185130153,1.0309046096345653
B1,1000.0,0.3817466381551058,0.2560453896639579,-0.13377173096323464,0.9094578046396954
B1,10000.0,0.3817466381551058,0.323085841045749,-0.09914544765391027,0.8665877758178421
B1,100000.0,0.3817466381551058,0.31182208675446443,-0.10395344150280082,0.8374463003272626
B1,1000000.0,0.3817466381551058,0.3411530718325423,-0.12912788946606538,0.8138706347597592
C1,1.0,0.21334316262351236,0.2306817765400119,-0.6141560082147924,1.066400573118521
C1,10.0,0.21334316262351236,0.186367514001129,-0.5592630694375119,1.0358413103314363
C1,100.0,0.21334316262351236,0.14026753904629113,-0.41251694580059006,0.9501062590011349
C1,1000.0,0.21334316262351236,0.12740248388439415,-0.28740114233581104,0.8683842090863196
C1,10000.0,0.21334316262351236,0.14518436843601665,-0.2306655820718174,0.8183453164447094
C1,100000.0,0.21334316262351236,0.17155906108225222,-0.23714339636941428,0.7807949710387273
C1,1000000.0,0.21334316262351236,0.1293617935329495,-0.28613671551556696,0.7876838114801461
D1,1.0,0.28502747918896043,0.23844163090427672,-0.6163864169069931,1.167956558734625
D1,10.0,0.28502747918896043,0.23177833149689678,-0.5526601517603866,1.1336728429322316
D1,100.0,0.28502747918896043,0.22804362702581207,-0.39549729676165385,1.0405581758912483
D1,1000.0,0.28502747918896043,0.2061307139155734,-0.2789852122829189,0.9486482187129746
D1,10000.0,0.28502747918896043,0.16952064584861962,-0.25530764358682506,0.87138686345516
D1,100000.0,0.28502747918896043,0.19941297474785924,-0.33884453611020615,0.8002982486092759
D1,1000000.0,0.28502747918896043,0.24475926538628393,-0.4168478520901607,0.7879950310238658
E1,1.0,0.20338172626922338,0.2033113489231873,-1.3312314848248046,1.2912474730354835
E1,10.0,0.20338172626922338,0.20414938022044757,-1.1764471053588108,1.2337722664877222
E1,100.0,0.20338172626922338,0.18566589556217056,-0.8131009078117091,1.0845162878892414
E1,1000.0,0.20338172626922338,0.15635846866354458,-0.5402218106112909,0.9524987166308362
E1,10000.0,0.20338172626922338,0.1514418899085945,-0.4343916628728134,0.890231563483714
E1,100000.0,0.20338172626922338,0.1744756012403106,-0.39467594615512513,0.8462361340759282
E1,1000000.0,0.20338172626922338,0.2855534458084203,-0.3342391599946902,0.8026001312082943
F1,1.0,0.13783066406641106,0.027347520935607522,-0.7476305880725256,1.2796165869275176
F1,10.0,0.13783066406641106,0.0073205249636957405,-0.6496825321742123,1.2173804684994431
F1,100.0,0.13783066406641106,0.02056414892734272,-0.4364157073097742,1.0726730043698296
F1,1000.0,0.13783066406641106,0.017389069498237035,-0.2959683345722306,0.9609976634277916
F1,10000.0,0.13783066406641106,0.05783153624644901,-0.24719986529051086,0.8979097528754412
F1,100000.0,0.13783066406641106,0.012996052663720361,-0.21675497230288115,0.8416080689333941
F1,1000000.0,0.13783066406641106,0.11288565822023255,-0.196892195202897,0.7914413404475513
G2,1.0,0.23502855268579417,0.16991686437610046,-0.4655129351455978,1.1636638077388104
G2,10.0,0.23502855268579417,0.200345353235309,-0.3969861872650585,1.1158937252924501
G2,100.0,0.23502855268579417,0.223120961990056,-0.23665522445470608,0.9984667359272098
G2,1000.0,0.23502855268579417,0.21853633516161114,-0.12313145058478926,0.9046892152377143
G2,10000.0,0.23502855268579417,0.14659916805154527,-0.08882986261879537,0.8511264548695937
G2,100000.0,0.23502855268579417,0.1425986177921393,-0.09044891306501816,0.8042359604869623
G2,1000000.0,0.23502855268579417,0.1534765203390708,-0.11514756186010801,0.7939903484715831
H1,1.0,0.36159560288824316,0.2500638634700138,-0.7017546882649677,1.176704536592629
H1,10.0,0.36159560288824316,0.24696809626567676,-0.5940033918583026,1.1224894013135502
H1,100.0,0.36159560288824316,0.28234323271122175,-0.3533963271402274,0.9924278438591067
H1,1000.0,0.36159560288824316,0.3323040811042116,-0.18914100843806678,0.8970498854667434
H1,10000.0,0.36159560288824316,0.3679193603392743,-0.14332448076420953,0.8563489322955519
H1,100000.0,0.36159560288824316,0.3629658029037343,-0.167053213467787,0.8203682864658081
H1,1000000.0,0.36159560288824316,0.3286820441889979,-0.23166118929586635,0.8063923465599641
