img_id,model_id,K,n,ari_pred,ari_morph,ari_realst,sd_pred,sd_morph,sd_realst,delta_BA,delta_AC
A1,DeepPT,6,346,0.05186545051495358,0.1417810575524318,0.11687435273220965,0.004562743900243397,0.002230178972674681,0.024784460334608828,0.08991560703747822,-0.06500890221725608
A1,DeepSpaCE,6,346,0.06675499458099546,0.1417810575524318,0.11687435273220965,0.00066426197713031,0.002230178972674681,0.024784460334608828,0.07502606297143635,-0.0501193581512142
A1,EGNv1,6,346,0.030863042996095137,0.1417810575524318,0.11687435273220965,0.013272119398113106,0.002230178972674681,0.024784460334608828,0.11091801455633668,-0.08601130973611451
A1,EGNv2,6,346,0.040011210153235485,0.1417810575524318,0.11687435273220965,0.019086855902099048,0.002230178972674681,0.024784460334608828,0.10176984739919633,-0.07686314257897417
A1,HisToGene,6,346,0.056464676409461935,0.1417810575524318,0.11687435273220965,0.005969398846689556,0.002230178972674681,0.024784460334608828,0.08531638114296988,-0.06040967632274772
A1,Hist2ST,6,346,0.012503918387655915,0.1417810575524318,0.11687435273220965,0.0015209748649212744,0.002230178972674681,0.024784460334608828,0.1292771391647759,-0.10437043434455374
A1,ST-Net,6,346,0.06310603073894891,0.1417810575524318,0.11687435273220965,0.0032096116583573433,0.002230178972674681,0.024784460334608828,0.0786750268134829,-0.053768321993260745
A1,TCGN,6,346,0.05978475820005558,0.1417810575524318,0.11687435273220965,0.00427616280161345,0.002230178972674681,0.024784460334608828,0.08199629935237623,-0.05708959453215408
A1,THItoGene,6,346,0.05180987986032254,0.1417810575524318,0.11687435273220965,0.003883012849433116,0.002230178972674681,0.024784460334608828,0.08997117769210927,-0.06506447287188712
A1,genecoder_i500_j500,6,346,0.0123200041570167,0.1417810575524318,0.11687435273220965,0.006487501667926854,0.002230178972674681,0.024784460334608828,0.1294610533954151,-0.10455434857519295
A1,iStar,6,346,-0.03386056090991281,0.1417810575524318,0.11687435273220965,0.009686715608437604,0.002230178972674681,0.024784460334608828,0.1756416184623446,-0.15073491364212246
B1,DeepPT,5,295,0.22403012791020954,0.3817466381551058,0.19746327569746733,0.0167935714582731,0.012204678377648864,0.01869846637143919,0.15771651024489625,0.026566852212742215
