img_id,r2_ridge,r2_trainmean,r2_testmean,beats_trainmean
A1,-0.2971071082794827,-0.33546585577216875,1.024722222005559e-16,True
B1,-0.09914544765391027,-0.1429922285601615,-2.0214316675833747e-16,True
C1,-0.2306655820718174,-0.30757886553618263,3.310809079505109e-17,True
D1,-0.25530764358682506,-0.43760520043467066,-7.713627499262361e-17,True
E1,-0.4343916628728134,-0.3144365279622355,5.016488473819474e-16,False
F1,-0.24719986529051086,-0.19647885392420675,-3.6587033839860507e-16,False
G2,-0.08882986261879537,-0.1283543745196686,-1.3063997993921114e-16,True
H1,-0.14332448076420953,-0.2554451817050945,3.562526064697378e-16,True
