metric,sd,cv,icc
raw ARI,0.08918724921135289,0.7394135982362564,0.610706429583107
ARI - morphology (delta),0.059676828837573304,0.5320557496632107,0.23000239144122595
ARI / morphology (ratio),0.2718849214795747,0.6083342055316635,0.1746914828775759
ARI - measured ST (control),0.08260287443316697,30.65277936940074,0.5610670028718937
