img_id,scope,n,K,morph_km,realst_km,morph_gmm,realst_gmm,morph_leiden,realst_leiden,pred_km,pred_gmm,pred_leiden,pred_km_wins
A1,all,346,6,0.1417810575524318,0.11421812936885962,0.115306289824573,0.1195800383436834,0.10702836450423904,0.06924034825199066,0.03742030955352985,0.06604636472198484,0.04755884944257067,0
A1,no_undet,341,5,0.21206972513400024,0.10538690538942315,0.13626816260798255,0.1897399028023637,0.1959910435523409,0.08173435883232534,0.04478144569333154,0.06751585229107308,0.04708556312902421,0
B1,all,295,5,0.3817466381551058,0.20150845435379222,0.3135018927231791,0.1923864209776432,0.3246282735573603,0.24757249261522576,0.2506760162270735,0.2475084739628726,0.24053584365195038,1
B1,no_undet,269,4,0.4811189817970014,0.20077933914277998,0.3540710838712012,0.22510775096949948,0.38068160389415545,0.27646056231476296,0.30079757845334276,0.2740921941765025,0.2796349987933997,0
C1,all,176,4,0.21334316262351236,0.060954876751300326,0.20237312714543082,0.07752248224886146,0.2444083365318137,0.016368583875701892,0.09727354611856819,0.09119498915236518,0.1144567596903578,0
C1,no_undet,167,3,0.4380862222337676,0.1039864940769691,0.3777975361122051,0.22960213399148333,0.4041515320121658,0.019592903148201484,0.14024588112989245,0.10589323354499948,0.148427360237632,0
D1,all,306,4,0.28502747918896043,0.18496954053305809,0.19385422809524572,0.1148260481917431,0.2794304518685135,0.21426383700892782,0.11771759678221651,0.1169718882557202,0.15551325454904621,0
D1,no_undet,255,3,0.39309646709950474,0.23406143900794568,0.29880897148601376,0.13073568911579286,0.3608997136428042,0.27542900665239506,0.16287726334044264,0.1433673087652414,0.2014351374875145,0
E1,all,587,4,0.20338172626922338,0.026359419484800584,0.2050138725782466,0.0052751639890897956,0.2516538606738343,0.022523271002141965,0.1176991619577984,0.056536870146937424,0.11650087999124766,1
E1,no_undet,534,3,0.3910652002453034,-0.011152079749613355,0.3715000337544822,0.015888173051643657,0.4354787194025378,0.010920372145115714,0.13008692536444746,0.07905531141396836,0.1508340224040986,0
F1,all,691,4,0.13783066406641106,0.04325008840771728,0.09350857177917407,0.06626130547114284,0.1392181099684416,0.04421951078508419,0.06962799602994268,0.05426121708032037,0.036121044586906896,2
F1,no_undet,659,3,0.11111128912468866,0.0804802835542053,0.13325379472358628,0.17461064005068913,0.14993246279433897,0.10383435727486579,0.06995031067581738,0.05609717384083904,0.0383555255706569,3
G2,all,467,7,0.23502855268579417,0.15238141651220916,0.14939623434630034,0.10875430287217491,0.21645485121810318,0.23976665352540147,0.08983413025886602,0.08617097991006789,0.11870927087702289,0
G2,no_undet,402,6,0.3049659354928965,0.20053535036453551,0.24838309548493226,0.14383569960933953,0.3152849272411841,0.26521778527159623,0.11091283474208925,0.10823390877315896,0.14427041007343175,0
H1,all,613,7,0.36159560288824316,0.18541943616393589,0.32504237200143676,0.1161423580735433,0.40441438855302697,0.12764800512002264,0.2254247008498376,0.20500501319822975,0.23534565502482277,0
H1,no_undet,530,6,0.43967381892617974,0.2580067533559643,0.38551122904027835,0.1808784818045852,0.4698474820222607,0.15721318013357294,0.3002887693757556,0.2724727625377186,0.2883169746379608,0
