img_id,K,n,morph,ridge_real,nullA_mean,nullA_sd,nullB_mean,nullB_sd,p_permA,p_permB
A1,6,346,0.14233294604947014,0.17399853395884418,0.12837918774801993,0.01670601609009995,0.14281824664853127,0.011704077036139786,1.0,0.9801980198019802
B1,5,295,0.37222705917284843,0.32858158457255787,0.31896023201415813,0.027223487386024373,0.35264904252151874,0.017397842060458912,0.6237623762376238,0.0891089108910891
C1,4,176,0.19952751510927963,0.15333244308136407,0.22194713871806507,0.025936545640789156,0.2341580419174432,0.017033386104617538,0.019801980198019802,0.009900990099009901
D1,4,306,0.30187357769147993,0.1638171854854099,0.24785288448577109,0.02560845527265791,0.25833674378414534,0.02537582470851701,0.009900990099009901,0.009900990099009901
E1,4,587,0.20170468913296496,0.15547378144959867,0.2170264263680136,0.026225464879709334,0.22068779779481307,0.01604634733480647,0.009900990099009901,0.009900990099009901
F1,4,691,0.1476098009695247,0.05820850739139033,0.05513794292888826,0.03233246695293105,0.05166945732331725,0.03536399031153748,0.6039603960396039,0.6534653465346535
G2,7,467,0.21881700188123934,0.14837840768157942,0.21362224462129403,0.015364361136727012,0.2257060791618143,0.014020720684839824,0.009900990099009901,0.009900990099009901
H1,7,613,0.3503093710543092,0.3654939820550597,0.3282968621170116,0.02732955056270608,0.34751809293891633,0.021525733118895975,0.9405940594059405,0.8316831683168316
