metric,spearman,kendall
raw ARI,0.6181818181818182,0.4909090909090909
ARI - morphology (delta),0.6181818181818182,0.4909090909090909
ARI / morphology (ratio),0.7363636363636363,0.5636363636363636
ARI - measured ST (control),0.6181818181818182,0.4909090909090909
